
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2022-07-26;Guadeloupe;179285;960;0;0.54;0.00;99.46
2022-07-26;Guinée-Bissau;8400;171;0;2.04;0.00;97.96
2022-07-26;Haïti;32178;838;0;2.60;0.00;97.40
2022-07-26;Inde;43920451;526110;0;1.20;0.00;98.80
2022-07-26;Cambodge;136631;3056;0;2.24;0.00;97.76
2022-07-26;Koweït;653020;2559;0;0.39;0.00;99.61
2022-07-26;Liechtenstein;18571;86;0;0.46;0.00;99.54
2022-07-26;Lettonie;855249;5879;0;0.69;0.00;99.31
2022-07-26;Saint Martin;11410;63;0;0.55;0.00;99.45
2022-07-26;Mongolie;937971;2119;0;0.23;0.00;99.77
2022-07-26;Malte;112295;786;0;0.70;0.00;99.30
2022-07-26;Mozambique;229387;2215;0;0.97;0.00;99.03
2022-07-26;Nicaragua;14777;244;0;1.65;0.00;98.35
2022-07-26;Nouvelle-Zélande;1576649;1942;0;0.12;0.00;99.88
2022-07-26;Philippines;3755403;60694;0;1.62;0.00;98.38
2022-07-26;Palestine;672039;5664;0;0.84;0.00;99.16
2022-07-26;Roumanie;3011711;65862;0;2.19;0.00;97.81
2022-07-26;Seychelles;45429;168;0;0.37;0.00;99.63
2022-07-26;Suriname;80949;1379;0;1.70;0.00;98.30
2022-07-26;Trinité-et-Tobago;170100;4045;0;2.38;0.00;97.62
2022-07-26;Venezuela;533195;5757;0;1.08;0.00;98.92
2022-07-26;Samoa;15318;29;0;0.19;0.00;99.81
2022-07-26;Zimbabwe;256270;5572;0;2.17;0.00;97.83
2022-07-26;Afghanistan;184819;7738;0;4.19;0.00;95.81
2022-07-26;Angola;102301;1912;0;1.87;0.00;98.13
2022-07-26;Belgique;4398161;32179;0;0.73;0.00;99.27
2022-07-26;Saint Barthélemy;4954;6;0;0.12;0.00;99.88
2022-07-26;Bhoutan;60368;21;0;0.03;0.00;99.97
2022-07-26;République Tchèque;3972261;40403;0;1.02;0.00;98.98
2022-07-26;Algérie;266916;6876;0;2.58;0.00;97.42
2022-07-26;Espagne;13204863;110187;0;0.83;0.00;99.17
2022-07-26;Îles Féroé;34658;28;0;0.08;0.00;99.92
2022-07-26;Guyane Française;89779;402;0;0.45;0.00;99.55
2022-07-26;Guinée;37358;445;0;1.19;0.00;98.81
2022-07-26;Croatie;1177692;16235;0;1.38;0.00;98.62
2022-07-26;Italie;20684182;170979;0;0.83;0.00;99.17
2022-07-26;Kirghizistan;201832;2991;0;1.48;0.00;98.52
2022-07-26;Corée du Sud;19346764;24907;0;0.13;0.00;99.87
2022-07-26;Sainte-Lucie;27755;385;0;1.39;0.00;98.61
