Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2021-04-22;Îles Féroé;663;1;660;0.15;99.55;0.30

2021-04-22;Fidji;86;2;65;2.33;75.58;22.09

2021-04-22;Finlande;85077;902;46000;1.06;54.07;44.87

2021-04-22;Éthiopie;247989;3496;185107;1.41;74.64;23.95

2021-04-22;Espagne;3456886;77496;150376;2.24;4.35;93.41

2021-04-22;Érythrée;3597;10;3406;0.28;94.69;5.03

2021-04-22;Égypte;219774;12914;165348;5.88;75.24;18.89

2021-04-22;Estonie;119218;1120;105471;0.94;88.47;10.59

2021-04-22;Équateur;365393;17965;309541;4.92;84.71;10.37

2021-04-22;Algérie;120363;3181;83900;2.64;69.71;27.65

