Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2021-04-23;Libye;174752;2947;160113;1.69;91.62;6.69

2021-04-23;Maroc;508530;8983;494415;1.77;97.22;1.01

2021-04-23;Monaco;2426;31;2317;1.28;95.51;3.22

2021-04-23;Moldavie;248518;5691;235965;2.29;94.95;2.76

2021-04-23;Montenegro;96348;1457;92142;1.51;95.63;2.85

2021-04-23;Saint Martin;1720;12;1399;0.70;81.34;17.97

2021-04-23;Madagascar;34775;588;27646;1.69;79.50;18.81

2021-04-23;Îles Marshall;4;0;4;0.00;100.00;0.00

2021-04-23;Macédoine;149710;4628;127139;3.09;84.92;11.99

2021-04-23;Mali;13504;460;7804;3.41;57.79;38.80

2021-04-23;Birmanie;142687;3206;131921;2.25;92.45;5.30

2021-04-23;Mongolie;29219;74;14745;0.25;50.46;49.28

2021-04-23;Macao;49;0;49;0.00;100.00;0.00

2021-04-23;Martinique;9758;66;98;0.68;1.00;98.32

2021-04-23;Mauritanie;18207;454;17560;2.49;96.45;1.06

2021-04-23;Malte;30129;412;29204;1.37;96.93;1.70

2021-04-23;Maurice;1205;16;996;1.33;82.66;16.02

2021-04-23;Maldives;27403;71;24116;0.26;88.00;11.74

2021-04-23;Malawi;33989;1145;31864;3.37;93.75;2.88

2021-04-23;Mexique;2323430;214504;1845008;9.23;79.41;11.36

2021-04-23;Malaisie;387535;1415;363608;0.37;93.83;5.81

2021-04-23;Mozambique;69597;806;62408;1.16;89.67;9.17

2021-04-23;Namibie;47383;622;45278;1.31;95.56;3.13

2021-04-23;Nouvelle-Calédonie;124;0;58;0.00;46.77;53.23

2021-04-23;Niger;5143;191;4812;3.71;93.56;2.72

2021-04-23;Nigéria;164633;2061;154643;1.25;93.93;4.82

2021-04-23;Nicaragua;6835;181;4225;2.65;61.81;35.54

2021-04-23;Pays-Bas;1470037;17245;22714;1.17;1.55;97.28

2021-04-23;Norvège;110061;736;17998;0.67;16.35;82.98

2021-04-23;Népal;294601;3122;276755;1.06;93.94;5.00

2021-04-23;Nouvelle-Zélande;2600;26;2542;1.00;97.77;1.23

2021-04-23;Oman;185278;1942;165051;1.05;89.08;9.87

2021-04-23;Panama;362358;6200;352255;1.71;97.21;1.08

2021-04-23;Pérou;1745655;59012;1670805;3.38;95.71;0.91

2021-04-23;Polynésie Française;18725;141;4842;0.75;25.86;73.39

2021-04-23;Papouasie-Nouvelle-Guinée;10338;99;7364;0.96;71.23;27.81

2021-04-23;Philippines;979740;16529;860412;1.69;87.82;10.49

2021-04-23;Pakistan;784108;16842;682290;2.15;87.01;10.84

2021-04-23;Pologne;2742122;64707;2401457;2.36;87.58;10.06

2021-04-23;Palestine;289120;3138;259105;1.09;89.62;9.30

2021-04-23;Portugal;833397;16957;791751;2.03;95.00;2.96

